                                     | Core 0    
  Instructions                       |   21516534
  Cycles                             |    8646661
  IPC                                |       2.49
  Time (ns)                          |    3250625
Branch predictor stats               |           
  num correct                        |     734030
  num incorrect                      |      36740
  misprediction rate                 |      4.77%
  mpki                               |       1.71
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    1835317
    num misses                       |          5
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |    7114284
    num misses                       |        953
    miss rate                        |      0.01%
    mpki                             |       0.04
  L2 TLB                             |           
    num accesses                     |        958
    num misses                       |        332
    miss rate                        |     34.66%
    mpki                             |       0.02
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    1835317
    num cache misses                 |       1667
    miss rate                        |      0.09%
    mpki                             |       0.08
  Cache L1-D                         |           
    num cache accesses               |    7114646
    num cache misses                 |      97477
    miss rate                        |      1.37%
    mpki                             |       4.53
  Cache L2                           |           
    num cache accesses               |      99144
    num cache misses                 |      27227
    miss rate                        |     27.46%
    mpki                             |       1.27
  Cache L3                           |           
    num cache accesses               |      27227
    num cache misses                 |        274
    miss rate                        |      1.01%
    mpki                             |       0.01
DRAM summary                         |           
  num dram accesses                  |        274
  average dram access latency (ns)   |      65.33
  average dram queueing delay        |      11.90
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          5
  num loads from dram cache          |          0
  num loads from remote cache        |          0
